0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.639439845630589771e-03
0.000000000000000000e+00,1.169212608017194066e+00
0.000000000000000000e+00,2.082166295260253097e+00
0.000000000000000000e+00,2.303455920856435579e+00
0.000000000000000000e+00,2.430860744701728304e+00
1.000000000000000000e+00,2.968559793658534840e+00
2.000000000000000000e+00,3.138942197899052822e+00
4.000000000000000000e+00,3.187334295569653531e+00
5.000000000000000000e+00,3.236350674235580538e+00
6.000000000000000000e+00,3.769950599047054318e+00
6.000000000000000000e+00,5.138120905244946357e+00
8.000000000000000000e+00,5.488708300319562028e+00
1.900000000000000000e+01,5.917600770308080627e+00
2.000000000000000000e+01,5.918953133716325254e+00
4.100000000000000000e+01,6.655345060027371140e+00
1.480000000000000000e+02,6.773181227200762322e+00
1.550000000000000000e+02,6.827521005658729436e+00
1.790000000000000000e+02,7.009370064404017775e+00
1.810000000000000000e+02,7.084896830745743834e+00
2.500000000000000000e+02,8.310765328760023607e+00
